DATETIME,TWEET,SENTIMENT
1/4/2022 0:48,b'Why was there no #AmberAlert for him? Where is #CodiBigsby ? Change how LE handles cases bc all this is BS. Sign th\xe2\x80\xa6 https://t.co/1LwArTyvnN',0
31/3/2022 23:16,"b'WHAT HAPPENED TO CRISTI LYNN RUSO?\n\nPLEASE LIKE, SHARE, SUBSCRIBE AND RETWEET\n\nhttps://t.co/aaIu8IX5ED\xe2\x80\xa6 https://t.co/pNlvudGMuw'",0
31/3/2022 21:46,"b'Washington first state in the U.S. to create statewide alert system for missing #Indigenous people, similar to\xe2\x80\xa6 https://t.co/IcGpo184xI'",0
31/3/2022 21:36,"b'WHAT HAPPENED DO DORIEN THOMAS?\n\nPLEASE LIKE, SHARE, SUBSCRIBE AND RETWEET\n\nhttps://t.co/adZ5DuXzpO\n\n#DORIENTHOMAS\xe2\x80\xa6 https://t.co/3gVeL6xrsa'",0
31/3/2022 20:03,b'Have you seen Hailey Rivera Delcid??  \n\n#HAILEYRIVERADELCID #MISSING #MARYLAND #SILVERSPRING  #missing\xe2\x80\xa6 https://t.co/IjDLTrS8Gr',0
31/3/2022 17:30,b'Somebody Call 911 Please!!!\n\n#AmberAlert\n\nMissing Child: Michael Kugelman\nTwitter: @MichaelKugelman\nLast Seen: Sulk\xe2\x80\xa6 https://t.co/1CXkk0VRAN',0
31/3/2022 16:14,"b""#Missing #SydneyMontgomery\nUntil there's evidence that she's indeed a runaway I'm going to treat this as a missing\xe2\x80\xa6 https://t.co/iYMpoeh6OE""",0
31/3/2022 15:01,"b'TCM Partner, @AANBVTX, is hosting its 4th annual Missing In The Brazos Valley event at the Brazos Valley Council of\xe2\x80\xa6 https://t.co/JjBvOiZO7Z'",0
31/3/2022 14:07,b'#Newjersey #NJ #Jersey \xf0\x9f\x9a\xa8\n#amberalert \nPlease share https://t.co/H2nAqG4bQ1',0
31/3/2022 12:50,b'Where is missing Summer Wells? #SummerWells #missing #amberalert #Tennessee #findSummerWells #CDT #truecrime\nCASE D\xe2\x80\xa6 https://t.co/dd3cGdFmMC',0
31/3/2022 9:58,b'MISSING TEEN in NJ! #AmberAlert https://t.co/7skFKhoQyA',0
31/3/2022 6:28,"b'Suspect from Fort St. John arrested after Amber Alert issued, released from police custody and \xe2\x80\x98won\xe2\x80\x99t be facing cha\xe2\x80\xa6 https://t.co/q2a1QgmogZ'",0
31/3/2022 3:38,"b'WATCH: Suspect from Fort St. John arrested after Amber Alert issued, released from police custody and \xe2\x80\x98won\xe2\x80\x99t be fac\xe2\x80\xa6 https://t.co/5jsfWI1JIr'",0
31/3/2022 3:08,b'well done to Team Newberry #amberalert',2
31/3/2022 2:24,b'NAOMI IRION FOUND DECEASED PLEASE PRAY FOR HER FAMILY\nhttps://t.co/sGzmWALHjz\n\n#NaomiIrion #TroyDriver #Reno\xe2\x80\xa6 https://t.co/r2Vlk4R0xF',0
31/3/2022 1:26,"b""HELP BRING KA'LEAH MALDONADO HOME \nhttps://t.co/HPvwr12jqO\n#missing #MissingPersons #SilverAlert #AmberAlert\xe2\x80\xa6 https://t.co/pJ6byOoJ8M""",0
